orf_id,transcript,gene,is_canonical,classification,orf_class,chromosome,coor1,coor2,strand
orf193666,chr13_774147,NA,noncanonical,denovo,None,chrXIII,774147,774281,+
orf193668,chr13_774603,NA,noncanonical,other,None,chrXIII,774603,774755,+
orf190277,chr13_774752,YMR251W-A,canonical,conserved,Verified,chrXIII,774752,774931,+
orf190278,chr13_775112,NA,noncanonical,other,None,chrXIII,775112,775147,+
orf201650,chr13_775315,YMR252C,canonical,conserved,Uncharacterized,chrXIII,775315,775719,-
orf198239,chr13_775946,YMR253C,canonical,conserved,Uncharacterized,chrXIII,775946,777190,-
orf193676,chr13_776079,NA,noncanonical,denovo,None,chrXIII,776079,776363,+
orf193678,chr13_776817,NA,noncanonical,other,None,chrXIII,776817,777002,+
orf186887,chr13_777595,NA,noncanonical,other,None,chrXIII,777595,777765,+
orf190286,chr13_778001,YMR255W,canonical,conserved,Verified,chrXIII,778001,778567,+
orf201635,chr13_778945,YMR256C,canonical,conserved,Verified,chrXIII,778945,779127,-
orf201633,chr13_779629,YMR257C,canonical,conserved,Verified,chrXIII,779629,782031,-
orf194761,chr13_782031,NA,noncanonical,other,None,chrXIII,782031,782120,-
orf198220,chr13_782333,NA,noncanonical,denovo,None,chrXIII,782333,782425,-
orf194760,chr13_782550,NA,noncanonical,other,None,chrXIII,782550,782639,-
orf201629,chr13_782620,YMR258C,canonical,conserved,Verified,chrXIII,782620,784281,-
orf200928,chr13_78335,YML097C,canonical,conserved,Verified,chrXIII,78335,79690,-
orf193710,chr13_784539,NA,noncanonical,denovo,None,chrXIII,784539,784640,+
orf201626,chr13_784621,YMR259C,canonical,conserved,Verified,chrXIII,784621,788883,-
orf194713,chr13_789378,YMR260C,canonical,conserved,Verified,chrXIII,789378,789839,-
orf194712,chr13_790128,NA,noncanonical,denovo,None,chrXIII,790128,790175,-
orf198192,chr13_790205,YMR261C,canonical,conserved,Verified,chrXIII,790205,793369,-
orf186954,chr13_793726,YMR262W,canonical,conserved,Uncharacterized,chrXIII,793726,794667,+
orf194701,chr13_794883,NA,noncanonical,other,None,chrXIII,794883,795179,-
orf193751,chr13_794919,YMR263W,canonical,conserved,Verified,chrXIII,794919,795524,+
orf186961,chr13_795805,YMR264W,canonical,conserved,Verified,chrXIII,795805,796416,+
orf194697,chr13_796005,NA,noncanonical,other,None,chrXIII,796005,796322,-
orf201591,chr13_796540,YMR265C,canonical,conserved,Uncharacterized,chrXIII,796540,797925,-
orf198176,chr13_798152,NA,noncanonical,denovo,None,chrXIII,798152,798316,-
orf190365,chr13_798518,YMR266W,canonical,conserved,Verified,chrXIII,798518,801379,+
orf184214,chr13_79909,YML096W,canonical,conserved,Uncharacterized,chrXIII,79909,81486,+
orf190366,chr13_801509,NA,noncanonical,denovo,None,chrXIII,801509,801565,+
orf186979,chr13_801772,YMR267W,canonical,conserved,Verified,chrXIII,801772,802704,+
orf201566,chr13_802888,YMR268C,canonical,conserved,Verified,chrXIII,802888,804222,-
orf193800,chr13_804456,YMR269W,canonical,conserved,Verified,chrXIII,804456,805091,+
orf194650,chr13_805326,YMR270C,canonical,conserved,Verified,chrXIII,805326,806423,-
orf201557,chr13_806770,NA,noncanonical,other,None,chrXIII,806770,806868,-
orf194648,chr13_806865,YMR271C,canonical,conserved,Verified,chrXIII,806865,807548,-
orf194647,chr13_807651,NA,noncanonical,denovo,None,chrXIII,807651,807716,-
orf194646,chr13_807801,NA,noncanonical,denovo,None,chrXIII,807801,807935,-
orf193818,chr13_809358,NA,noncanonical,denovo,None,chrXIII,809358,809465,+
orf201547,chr13_809623,YMR272C,canonical,conserved,Verified,chrXIII,809623,810777,-
orf194627,chr13_811233,YMR273C,canonical,conserved,Verified,chrXIII,811233,813980,-
orf198111,chr13_814364,YMR274C,canonical,conserved,Verified,chrXIII,814364,815311,-
orf204106,chr13_81481,YML095C,canonical,conserved,Verified,chrXIII,81481,82113,-
orf198108,chr13_815651,YMR275C,canonical,conserved,Verified,chrXIII,815651,818581,-
orf187037,chr13_818827,YMR276W,canonical,conserved,Verified,chrXIII,818827,819948,+
orf190456,chr13_820256,YMR277W,canonical,conserved,Verified,chrXIII,820256,822454,+
orf194602,chr13_822489,NA,noncanonical,denovo,None,chrXIII,822489,822653,-
NA,chr13_82275,YML094W,canonical,conserved,Verified,chrXIII,82275,82849,+
orf187045,chr13_822763,YMR278W,canonical,conserved,Verified,chrXIII,822763,824631,+
orf198077,chr13_824729,YMR279C,canonical,conserved,Verified,chrXIII,824729,826351,-
orf194582,chr13_827028,YMR280C,canonical,conserved,Verified,chrXIII,827028,831329,-
orf187751,chr13_83090,YML093W,canonical,conserved,Verified,chrXIII,83090,85789,+
orf187075,chr13_832339,YMR281W,canonical,conserved,Verified,chrXIII,832339,833253,+
orf201462,chr13_833356,YMR282C,canonical,conserved,Verified,chrXIII,833356,835098,-
orf194556,chr13_835326,YMR283C,canonical,conserved,Verified,chrXIII,835326,836867,-
orf187089,chr13_837034,NA,noncanonical,other,None,chrXIII,837034,837171,+
orf190520,chr13_837131,NA,noncanonical,other,None,chrXIII,837131,837259,+
orf193918,chr13_837279,NA,noncanonical,other,None,chrXIII,837279,837374,+
orf190521,chr13_837377,NA,noncanonical,other,None,chrXIII,837377,837436,+
orf190525,chr13_838187,YMR284W,canonical,conserved,Verified,chrXIII,838187,839995,+
orf194539,chr13_840144,YMR285C,canonical,conserved,Verified,chrXIII,840144,841691,-
orf187100,chr13_841942,YMR286W,canonical,conserved,Verified,chrXIII,841942,842202,+
orf194535,chr13_842436,YMR287C,canonical,conserved,Verified,chrXIII,842436,845345,-
orf193963,chr13_845571,YMR288W,canonical,conserved,Verified,chrXIII,845571,848486,+
orf193965,chr13_848685,YMR289W,canonical,conserved,Verified,chrXIII,848685,849809,+
orf187143,chr13_849883,NA,noncanonical,denovo,None,chrXIII,849883,849954,+
orf187144,chr13_849955,NA,noncanonical,denovo,None,chrXIII,849955,849999,+
orf194514,chr13_850074,YMR290C,canonical,conserved,Verified,chrXIII,850074,851591,-
orf197942,chr13_851705,NA,noncanonical,denovo,None,chrXIII,851705,851812,-
orf193972,chr13_852630,YMR291W,canonical,conserved,Verified,chrXIII,852630,854390,+
orf190570,chr13_854456,NA,noncanonical,denovo,None,chrXIII,854456,854554,+
NA,chr13_854795,YMR292W,canonical,conserved,Verified,chrXIII,854795,855293,+
orf197925,chr13_854885,NA,noncanonical,other,None,chrXIII,854885,855226,-
orf194501,chr13_855399,YMR293C,canonical,conserved,Verified,chrXIII,855399,856793,-
orf187169,chr13_856966,YMR294W,canonical,conserved,Verified,chrXIII,856966,858087,+
orf194493,chr13_858297,YMR295C,canonical,conserved,Verified,chrXIII,858297,858890,-
orf194492,chr13_859215,YMR296C,canonical,conserved,Verified,chrXIII,859215,860891,-
orf204093,chr13_85987,YML092C,canonical,conserved,Verified,chrXIII,85987,86739,-
orf187184,chr13_861496,NA,noncanonical,other,None,chrXIII,861496,861621,+
orf187187,chr13_861922,YMR297W,canonical,conserved,Verified,chrXIII,861922,863520,+
orf190617,chr13_863819,YMR298W,canonical,conserved,Verified,chrXIII,863819,864271,+
orf201368,chr13_864412,YMR299C,canonical,conserved,Verified,chrXIII,864412,865350,-
orf197873,chr13_865559,YMR300C,canonical,conserved,Verified,chrXIII,865559,867091,-
orf194465,chr13_867555,YMR301C,canonical,conserved,Verified,chrXIII,867555,869627,-
orf197854,chr13_869933,NA,noncanonical,other,None,chrXIII,869933,870073,-
orf201346,chr13_870073,YMR302C,canonical,conserved,Verified,chrXIII,870073,872625,-
orf197300,chr13_87123,YML091C,canonical,conserved,Verified,chrXIII,87123,90731,-
orf201342,chr13_873094,NA,noncanonical,denovo,None,chrXIII,873094,873216,-
orf187227,chr13_873109,NA,noncanonical,denovo,None,chrXIII,873109,873177,+
orf194440,chr13_873291,YMR303C,canonical,conserved,Verified,chrXIII,873291,874337,-
orf187233,chr13_874987,YMR304W,canonical,conserved,Verified,chrXIII,874987,878679,+
orf197828,chr13_878780,YMR304C-A,noncanonical,other,Dubious,chrXIII,878780,879130,-
orf194425,chr13_879063,YMR305C,canonical,conserved,Verified,chrXIII,879063,880232,-
orf190695,chr13_881159,YMR306W,canonical,conserved,Verified,chrXIII,881159,886516,+
orf201299,chr13_885502,NA,noncanonical,denovo,None,chrXIII,885502,885642,-
orf204387,chr13_8857,NA,noncanonical,other,None,chrXIII,8857,8934,-
orf201298,chr13_885850,NA,noncanonical,other,None,chrXIII,885850,886071,-
orf201296,chr13_886183,YMR306C-A,noncanonical,denovo,Dubious,chrXIII,886183,886572,-
orf194082,chr13_886710,NA,noncanonical,denovo,None,chrXIII,886710,886817,+
orf190696,chr13_887003,YMR307W,canonical,conserved,Verified,chrXIII,887003,888682,+
orf201290,chr13_888304,NA,noncanonical,other,None,chrXIII,888304,888651,-
orf194094,chr13_888759,NA,noncanonical,other,None,chrXIII,888759,888800,+
orf201287,chr13_888952,YMR308C,canonical,conserved,Verified,chrXIII,888952,892221,-
orf197786,chr13_892988,YMR309C,canonical,conserved,Verified,chrXIII,892988,895426,-
orf194354,chr13_895716,YMR310C,canonical,conserved,Uncharacterized,chrXIII,895716,896669,-
orf197780,chr13_896804,NA,noncanonical,other,None,chrXIII,896804,896917,-
orf201263,chr13_896914,YMR311C,canonical,conserved,Verified,chrXIII,896914,897603,-
orf187302,chr13_898405,YMR312W,canonical,conserved,Verified,chrXIII,898405,899226,+
orf194344,chr13_898710,NA,noncanonical,denovo,None,chrXIII,898710,898970,-
orf194341,chr13_899379,YMR313C,canonical,conserved,Verified,chrXIII,899379,901307,-
orf190753,chr13_901709,YMR314W,canonical,conserved,Verified,chrXIII,901709,902413,+
orf187314,chr13_902800,YMR315W,canonical,conserved,Verified,chrXIII,902800,903849,+
orf194159,chr13_903846,NA,noncanonical,other,None,chrXIII,903846,903962,+
orf190765,chr13_904286,YMR315W-A,canonical,denovo,Uncharacterized,chrXIII,904286,904393,+
orf201237,chr13_904390,NA,noncanonical,denovo,None,chrXIII,904390,904506,-
orf190768,chr13_904598,NA,noncanonical,denovo,None,chrXIII,904598,904702,+
orf194164,chr13_904719,NA,noncanonical,other,None,chrXIII,904719,904841,+
orf187318,chr13_904825,YMR316W,canonical,conserved,Verified,chrXIII,904825,905835,+
orf201230,chr13_905662,YMR316C-A,canonical,other,Uncharacterized,chrXIII,905662,905973,-
orf190776,chr13_906287,NA,noncanonical,denovo,None,chrXIII,906287,906421,+
orf190777,chr13_906506,NA,noncanonical,denovo,None,chrXIII,906506,906556,+
orf194166,chr13_906663,NA,noncanonical,other,None,chrXIII,906663,906755,+
orf190780,chr13_907364,YMR317W,canonical,conserved,Uncharacterized,chrXIII,907364,910786,+
orf194274,chr13_910248,NA,noncanonical,denovo,None,chrXIII,910248,910427,-
orf197299,chr13_91041,YML089C,noncanonical,denovo,Dubious,chrXIII,91041,91409,-
orf201215,chr13_910810,NA,noncanonical,denovo,None,chrXIII,910810,910947,-
orf194268,chr13_911061,YMR318C,canonical,conserved,Verified,chrXIII,911061,912143,-
orf201210,chr13_912241,NA,noncanonical,denovo,None,chrXIII,912241,912384,-
orf194267,chr13_912423,NA,noncanonical,denovo,None,chrXIII,912423,912623,-
orf187332,chr13_912637,NA,noncanonical,other,None,chrXIII,912637,912699,+
orf187334,chr13_912745,NA,noncanonical,other,None,chrXIII,912745,912822,+
orf201207,chr13_912880,YMR319C,canonical,conserved,Verified,chrXIII,912880,914538,-
orf204085,chr13_91378,NA,noncanonical,other,None,chrXIII,91378,91515,-
orf187341,chr13_914086,NA,noncanonical,denovo,None,chrXIII,914086,914307,+
orf190793,chr13_914216,NA,noncanonical,other,None,chrXIII,914216,914428,+
orf187342,chr13_914392,NA,noncanonical,denovo,None,chrXIII,914392,914613,+
orf194256,chr13_914886,NA,noncanonical,other,None,chrXIII,914886,914996,-
orf194195,chr13_915114,NA,noncanonical,denovo,None,chrXIII,915114,915221,+
orf194196,chr13_915267,NA,noncanonical,denovo,None,chrXIII,915267,915335,+
orf187346,chr13_915454,NA,noncanonical,denovo,None,chrXIII,915454,915570,+
orf190802,chr13_915587,NA,noncanonical,other,None,chrXIII,915587,915622,+
orf194199,chr13_915876,NA,noncanonical,other,None,chrXIII,915876,915968,+
orf194203,chr13_916746,YMR320W,canonical,other,Uncharacterized,chrXIII,916746,917051,+
orf197703,chr13_916913,NA,noncanonical,other,None,chrXIII,916913,917128,-
orf190809,chr13_917132,NA,noncanonical,other,None,chrXIII,917132,917173,+
orf197698,chr13_917579,YMR321C,canonical,conserved,Uncharacterized,chrXIII,917579,917896,-
orf194206,chr13_917814,NA,noncanonical,other,None,chrXIII,917814,917957,+
orf194246,chr13_918366,YMR322C,canonical,conserved,Verified,chrXIII,918366,919079,-
orf201188,chr13_919024,NA,noncanonical,other,None,chrXIII,919024,919242,-
orf190821,chr13_919556,NA,noncanonical,other,None,chrXIII,919556,919648,+
orf194214,chr13_920088,YMR323W,canonical,conserved,Verified,chrXIII,920088,921401,+
orf191143,chr13_92235,YML088W,canonical,conserved,Verified,chrXIII,92235,94241,+
orf194220,chr13_922641,YMR325W,canonical,conserved,Verified,chrXIII,922641,923015,+
orf201152,chr13_9281,NA,noncanonical,other,None,chrXIII,9281,9343,-
orf197631,chr13_9420,NA,noncanonical,other,None,chrXIII,9420,9503,-
orf197288,chr13_94431,YML087C,canonical,conserved,Verified,chrXIII,94431,95369,-
orf204068,chr13_95791,YML086C,canonical,conserved,Verified,chrXIII,95791,97371,-
orf197629,chr13_9612,NA,noncanonical,other,None,chrXIII,9612,9698,-
orf201149,chr13_9695,NA,noncanonical,other,None,chrXIII,9695,9766,-
NA,chr13_97941,YML085C,canonical,conserved,Verified,chrXIII,97941,99400,-
orf187806,chr13_99749,NA,noncanonical,denovo,None,chrXIII,99749,99925,+
orf200832,chr13_99794,YML083C,canonical,conserved,Verified,chrXIII,99794,101050,-
orf215510,chr14_100910,YNL284C-A,canonical,conserved,transposable_element_gene,chrXIV,100910,102232,-
orf204813,chr14_101911,NA,noncanonical,other,None,chrXIV,101911,102084,+
orf221265,chr14_103134,YNL284C,canonical,conserved,Verified,chrXIV,103134,104102,-
orf204825,chr14_104842,NA,noncanonical,other,None,chrXIV,104842,104955,+
orf218351,chr14_105184,YNL283C,canonical,conserved,Verified,chrXIV,105184,106695,-
orf204833,chr14_106978,NA,noncanonical,denovo,None,chrXIV,106978,107100,+
orf218350,chr14_107095,NA,noncanonical,denovo,None,chrXIV,107095,107178,-
orf210703,chr14_107244,NA,noncanonical,denovo,None,chrXIV,107244,107423,+
orf207810,chr14_107498,NA,noncanonical,denovo,None,chrXIV,107498,107578,+
orf210704,chr14_107622,NA,noncanonical,other,None,chrXIV,107622,107681,+
orf207811,chr14_107687,YNL282W,canonical,conserved,Verified,chrXIV,107687,108274,+
orf207812,chr14_108467,YNL281W,canonical,conserved,Verified,chrXIV,108467,108928,+
orf221247,chr14_109095,YNL280C,canonical,conserved,Verified,chrXIV,109095,110411,-
orf204853,chr14_110917,YNL279W,canonical,conserved,Verified,chrXIV,110917,112902,+
orf221242,chr14_111267,NA,noncanonical,other,None,chrXIV,111267,111515,-
orf221236,chr14_112407,NA,noncanonical,other,None,chrXIV,112407,112556,-
orf218330,chr14_112519,NA,noncanonical,other,None,chrXIV,112519,112620,-
orf210727,chr14_113271,YNL278W,canonical,conserved,Verified,chrXIV,113271,116453,+
orf204467,chr14_11452,YNL335W,canonical,conserved,Verified,chrXIV,11452,12129,+
orf210728,chr14_116679,YNL277W-A,canonical,denovo,Uncharacterized,chrXIV,116679,116867,+
orf204878,chr14_116899,NA,noncanonical,denovo,None,chrXIV,116899,117075,+
orf210729,chr14_117051,NA,noncanonical,denovo,None,chrXIV,117051,117167,+
orf204880,chr14_117349,YNL277W,canonical,conserved,Verified,chrXIV,117349,118809,+
orf218307,chr14_117463,NA,noncanonical,other,None,chrXIV,117463,117564,-
orf215450,chr14_118166,NA,noncanonical,denovo,None,chrXIV,118166,118303,-
orf221208,chr14_118431,YNL276C,noncanonical,other,Dubious,chrXIV,118431,118826,-
orf218304,chr14_118897,NA,noncanonical,other,None,chrXIV,118897,119088,-
orf204881,chr14_119092,NA,noncanonical,denovo,None,chrXIV,119092,119148,+
orf210734,chr14_119268,YNL275W,canonical,conserved,Verified,chrXIV,119268,120998,+
orf215438,chr14_120995,NA,noncanonical,denovo,None,chrXIV,120995,121054,-
orf215437,chr14_121118,YNL274C,canonical,conserved,Verified,chrXIV,121118,122170,-
orf218740,chr14_12208,YNL334C,canonical,conserved,Verified,chrXIV,12208,12876,-
orf221196,chr14_122286,NA,noncanonical,denovo,None,chrXIV,122286,122549,-
orf210743,chr14_122883,YNL273W,canonical,conserved,Verified,chrXIV,122883,126599,+
orf218262,chr14_126805,YNL272C,canonical,conserved,Verified,chrXIV,126805,129084,-
orf215419,chr14_129332,NA,noncanonical,denovo,None,chrXIV,129332,129502,-
orf221162,chr14_129522,YNL271C,canonical,conserved,Verified,chrXIV,129522,135383,-
orf204474,chr14_13267,YNL333W,canonical,conserved,Verified,chrXIV,13267,14163,+
orf218255,chr14_135940,YNL270C,canonical,conserved,Verified,chrXIV,135940,137661,-
orf207921,chr14_137699,YNL269W,canonical,other,Verified,chrXIV,137699,138094,+
orf218252,chr14_137827,NA,noncanonical,denovo,None,chrXIV,137827,138069,-
orf204955,chr14_138550,YNL268W,canonical,conserved,Verified,chrXIV,138550,140385,+
orf210797,chr14_140490,NA,noncanonical,denovo,None,chrXIV,140490,140684,+
orf204956,chr14_140878,YNL267W,canonical,conserved,Verified,chrXIV,140878,144078,+
orf207958,chr14_144245,YNL266W,noncanonical,other,Dubious,chrXIV,144245,144664,+
NA,chr14_144280,YNL265C,canonical,conserved,Verified,chrXIV,144280,145281,-
orf221114,chr14_145434,NA,noncanonical,other,None,chrXIV,145434,145496,-
orf221113,chr14_145563,YNL264C,canonical,conserved,Verified,chrXIV,145563,146615,-
orf218223,chr14_146794,NA,noncanonical,denovo,None,chrXIV,146794,146859,-
orf218222,chr14_146896,YNL263C,canonical,conserved,Verified,chrXIV,146896,147840,-
orf210820,chr14_148212,YNL262W,canonical,conserved,Verified,chrXIV,148212,154880,+
orf210334,chr14_14832,YNL332W,canonical,conserved,Verified,chrXIV,14832,15854,+
orf207983,chr14_154877,NA,noncanonical,other,None,chrXIV,154877,154924,+
orf210821,chr14_155100,YNL261W,canonical,conserved,Verified,chrXIV,155100,156539,+
orf215288,chr14_156530,NA,noncanonical,denovo,None,chrXIV,156530,156613,-
orf218186,chr14_156859,YNL260C,canonical,conserved,Verified,chrXIV,156859,157455,-
orf221074,chr14_157467,NA,noncanonical,other,None,chrXIV,157467,157586,-
orf221073,chr14_157599,NA,noncanonical,denovo,None,chrXIV,157599,157643,-
orf221072,chr14_157644,YNL259C,canonical,conserved,Verified,chrXIV,157644,157865,-
orf221070,chr14_158109,YNL258C,canonical,conserved,Verified,chrXIV,158109,160373,-
orf218728,chr14_15994,NA,noncanonical,other,None,chrXIV,15994,16101,-
orf215265,chr14_160631,YNL257C,canonical,conserved,Verified,chrXIV,160631,164320,-
orf215773,chr14_16118,YNL331C,canonical,conserved,Verified,chrXIV,16118,17248,-
orf207492,chr14_16298,NA,noncanonical,other,None,chrXIV,16298,16555,+
orf205083,chr14_164503,YNL256W,canonical,conserved,Verified,chrXIV,164503,167097,+
orf207493,chr14_16568,NA,noncanonical,other,None,chrXIV,16568,16717,+
orf221043,chr14_167079,NA,noncanonical,denovo,None,chrXIV,167079,167159,-
orf218135,chr14_167329,YNL255C,canonical,conserved,Verified,chrXIV,167329,167790,-
orf218132,chr14_168043,YNL254C,canonical,conserved,Verified,chrXIV,168043,169248,-
orf218131,chr14_169264,NA,noncanonical,denovo,None,chrXIV,169264,169347,-
orf208041,chr14_170018,YNL253W,canonical,conserved,Verified,chrXIV,170018,171286,+
orf221018,chr14_171441,YNL252C,canonical,conserved,Verified,chrXIV,171441,172286,-
orf210338,chr14_17169,NA,noncanonical,other,None,chrXIV,17169,17291,+
orf218116,chr14_172588,YNL251C,canonical,conserved,Verified,chrXIV,172588,174315,-
orf210339,chr14_17328,NA,noncanonical,denovo,None,chrXIV,17328,17414,+
orf215218,chr14_174521,NA,noncanonical,denovo,None,chrXIV,174521,174613,-
orf205115,chr14_174937,NA,noncanonical,other,None,chrXIV,174937,175152,+
orf210885,chr14_175410,YNL250W,canonical,conserved,Verified,chrXIV,175410,179348,+
orf215771,chr14_17705,NA,noncanonical,other,None,chrXIV,17705,17908,-
orf220991,chr14_179394,YNL249C,canonical,conserved,Verified,chrXIV,179394,181022,-
orf218717,chr14_18001,YNL330C,canonical,conserved,Verified,chrXIV,18001,19302,-
orf215183,chr14_181361,YNL248C,canonical,conserved,Verified,chrXIV,181361,182608,-
orf205165,chr14_182875,YNL247W,canonical,conserved,Verified,chrXIV,182875,185178,+
orf205166,chr14_185197,NA,noncanonical,other,None,chrXIV,185197,185259,+
orf218068,chr14_185320,NA,noncanonical,other,None,chrXIV,185320,185544,-
NA,chr14_185460,YNL246W,canonical,conserved,Verified,chrXIV,185460,186349,+
orf218065,chr14_186346,YNL245C,canonical,conserved,Verified,chrXIV,186346,186885,-
orf215162,chr14_187079,NA,noncanonical,other,None,chrXIV,187079,187180,-
orf220970,chr14_187170,YNL244C,canonical,conserved,Verified,chrXIV,187170,187496,-
orf208109,chr14_188051,YNL243W,canonical,conserved,Verified,chrXIV,188051,190957,+
orf208110,chr14_191324,YNL242W,canonical,conserved,Verified,chrXIV,191324,196102,+
orf215767,chr14_19541,YNL329C,canonical,conserved,Verified,chrXIV,19541,22633,-
orf218023,chr14_196426,YNL241C,canonical,conserved,Verified,chrXIV,196426,197943,-
orf205191,chr14_197383,NA,noncanonical,other,None,chrXIV,197383,197634,+
orf208119,chr14_197903,NA,noncanonical,denovo,None,chrXIV,197903,198127,+
orf208120,chr14_198434,NA,noncanonical,denovo,None,chrXIV,198434,198652,+
orf218020,chr14_198502,YNL240C,canonical,conserved,Verified,chrXIV,198502,199977,-
orf210994,chr14_200271,NA,noncanonical,denovo,None,chrXIV,200271,200381,+
orf205198,chr14_200482,YNL239W,canonical,conserved,Verified,chrXIV,200482,201933,+
orf220913,chr14_201816,NA,noncanonical,other,None,chrXIV,201816,201995,-
orf211000,chr14_202428,YNL238W,canonical,conserved,Verified,chrXIV,202428,204872,+
orf218002,chr14_204919,NA,noncanonical,denovo,None,chrXIV,204919,205080,-
orf215101,chr14_205109,NA,noncanonical,other,None,chrXIV,205109,205303,-
orf211004,chr14_205188,YNL237W,canonical,conserved,Verified,chrXIV,205188,206567,+
orf217995,chr14_206368,NA,noncanonical,other,None,chrXIV,206368,206472,-
orf220887,chr14_206511,NA,noncanonical,denovo,None,chrXIV,206511,206597,-
orf211005,chr14_206667,NA,noncanonical,other,None,chrXIV,206667,206717,+
orf208152,chr14_206930,YNL236W,canonical,conserved,Verified,chrXIV,206930,209854,+
orf217986,chr14_209548,YNL235C,noncanonical,other,Dubious,chrXIV,209548,209979,-
orf208153,chr14_210233,YNL234W,canonical,conserved,Verified,chrXIV,210233,211513,+
orf208154,chr14_211922,YNL233W,canonical,conserved,Verified,chrXIV,211922,214600,+
orf211059,chr14_214923,YNL232W,canonical,conserved,Verified,chrXIV,214923,215801,+
orf215064,chr14_215987,YNL231C,canonical,conserved,Verified,chrXIV,215987,217042,-
orf217951,chr14_217144,NA,noncanonical,denovo,None,chrXIV,217144,217194,-
orf217950,chr14_217219,NA,noncanonical,other,None,chrXIV,217219,217275,-
orf215062,chr14_217523,YNL230C,canonical,conserved,Verified,chrXIV,217523,218662,-
orf220844,chr14_218919,NA,noncanonical,other,None,chrXIV,218919,219140,-
orf215059,chr14_219137,YNL229C,canonical,conserved,Verified,chrXIV,219137,220201,-
orf220839,chr14_220659,YNL227C,canonical,conserved,Verified,chrXIV,220659,222431,-
orf217923,chr14_222724,YNL225C,canonical,conserved,Verified,chrXIV,222724,224469,-
orf220823,chr14_224796,YNL224C,canonical,conserved,Verified,chrXIV,224796,227099,-
orf218697,chr14_22630,NA,noncanonical,other,None,chrXIV,22630,22680,-
orf211102,chr14_227334,YNL223W,canonical,conserved,Verified,chrXIV,227334,228854,+
orf218696,chr14_22834,YNL328C,canonical,conserved,Verified,chrXIV,22834,23274,-
orf208217,chr14_229094,YNL222W,canonical,conserved,Verified,chrXIV,229094,229714,+
orf217914,chr14_229327,NA,noncanonical,other,None,chrXIV,229327,229650,-
orf215012,chr14_229940,NA,noncanonical,denovo,None,chrXIV,229940,230095,-
orf217910,chr14_230461,NA,noncanonical,other,None,chrXIV,230461,230553,-
orf215008,chr14_231068,YNL221C,canonical,conserved,Verified,chrXIV,231068,233695,-
orf217887,chr14_233959,NA,noncanonical,other,None,chrXIV,233959,234096,-
orf221585,chr14_23433,NA,noncanonical,denovo,None,chrXIV,23433,23609,-
orf208240,chr14_234413,YNL220W,canonical,conserved,Verified,chrXIV,234413,235714,+
orf217879,chr14_235996,YNL219C,canonical,conserved,Verified,chrXIV,235996,237663,-
orf211157,chr14_237960,NA,noncanonical,denovo,None,chrXIV,237960,238139,+
orf208251,chr14_238238,YNL218W,canonical,conserved,Verified,chrXIV,238238,240001,+
orf205344,chr14_240331,YNL217W,canonical,conserved,Verified,chrXIV,240331,241311,+
orf210368,chr14_24048,YNL327W,canonical,conserved,Verified,chrXIV,24048,27173,+
orf205346,chr14_241453,NA,noncanonical,denovo,None,chrXIV,241453,241659,+
orf211177,chr14_241689,YNL216W,canonical,conserved,Verified,chrXIV,241689,244172,+
orf205369,chr14_244468,YNL215W,canonical,conserved,Verified,chrXIV,244468,245430,+
orf205370,chr14_245617,YNL214W,canonical,conserved,Verified,chrXIV,245617,246216,+
orf205371,chr14_246379,NA,noncanonical,other,None,chrXIV,246379,246435,+
orf217848,chr14_246460,YNL213C,canonical,conserved,Verified,chrXIV,246460,247104,-
orf211182,chr14_247461,YNL212W,canonical,conserved,Verified,chrXIV,247461,249809,+
orf220740,chr14_250002,NA,noncanonical,denovo,None,chrXIV,250002,250040,-
orf214944,chr14_250055,YNL211C,canonical,conserved,Uncharacterized,chrXIV,250055,250315,-
orf208288,chr14_250931,YNL210W,canonical,conserved,Verified,chrXIV,250931,251743,+
orf217833,chr14_251413,NA,noncanonical,other,None,chrXIV,251413,251592,-
orf208291,chr14_252059,YNL209W,canonical,conserved,Verified,chrXIV,252059,253900,+
orf217823,chr14_254056,NA,noncanonical,denovo,None,chrXIV,254056,254202,-
orf211204,chr14_254418,YNL208W,canonical,conserved,Verified,chrXIV,254418,255017,+
orf208294,chr14_255353,YNL207W,canonical,conserved,Verified,chrXIV,255353,256630,+
orf220714,chr14_256788,YNL206C,canonical,conserved,Verified,chrXIV,256788,258155,-
orf220712,chr14_258375,YNL204C,canonical,conserved,Verified,chrXIV,258375,259277,-
orf214906,chr14_259439,YNL203C,noncanonical,other,Dubious,chrXIV,259439,260050,-
orf211223,chr14_259569,YNL202W,canonical,conserved,Verified,chrXIV,259569,260456,+
orf214905,chr14_260093,NA,noncanonical,other,None,chrXIV,260093,260188,-
orf214903,chr14_260627,YNL201C,canonical,conserved,Verified,chrXIV,260627,263203,-
orf217782,chr14_263713,YNL200C,canonical,conserved,Verified,chrXIV,263713,264453,-
orf214896,chr14_264926,YNL199C,canonical,conserved,Verified,chrXIV,264926,266530,-
orf220692,chr14_267120,NA,noncanonical,denovo,None,chrXIV,267120,267236,-
orf217766,chr14_267529,NA,noncanonical,denovo,None,chrXIV,267529,267603,-
orf214889,chr14_267608,YNL197C,canonical,conserved,Verified,chrXIV,267608,269593,-
orf214888,chr14_270275,YNL196C,canonical,conserved,Verified,chrXIV,270275,271171,-
orf211278,chr14_270333,NA,noncanonical,other,None,chrXIV,270333,270536,+
